,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_optimizer,param_module__dp_fc,param_module__dp_conv,param_max_epochs,param_lr,param_batch_size,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
12,407.1935368061066,0.7993951247041604,6.841237306594849,0.09157993775797366,<class 'torch.optim.adam.Adam'>,0.04040404040404041,1e-05,41,0.01,32,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.04040404040404041, 'module__dp_conv': 1e-05, 'max_epochs': 41, 'lr': 0.01, 'batch_size': 32}",0.9467023606716963,0.9372110002433682,0.9442686785105865,0.9337877312560857,0.9535053554040895,0.9430950252171652,0.00698588257138176,1
20,533.8246574878692,0.5590284538706217,6.740467500686646,0.06930222323878288,<class 'torch.optim.adam.Adam'>,0.2070707070707071,0.01,61,0.001,64,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.2070707070707071, 'module__dp_conv': 0.01, 'max_epochs': 61, 'lr': 0.001, 'batch_size': 64}",0.9449987831589195,0.9369676320272572,0.9530299342905817,0.9291626095423564,0.9444985394352483,0.9417314996908726,0.008082792949140029,2
40,209.5019727706909,0.14016510741631216,6.72018141746521,0.08192703838006045,<class 'torch.optim.adam.Adam'>,0.27272727272727276,0.01,24,0.01,64,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.27272727272727276, 'module__dp_conv': 0.01, 'max_epochs': 24, 'lr': 0.01, 'batch_size': 64}",0.939401314188367,0.9420783645655877,0.948892674616695,0.9211295034079844,0.9556962025316456,0.9414396118620558,0.011626363918128501,3
8,298.94232726097107,0.24869845472462315,6.7310715675354,0.05023753541133066,<class 'torch.optim.adam.Adam'>,0.4444444444444445,0.1,36,0.01,128,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.4444444444444445, 'module__dp_conv': 0.1, 'max_epochs': 36, 'lr': 0.01, 'batch_size': 128}",0.9411048917011439,0.9454855195911414,0.9457288878072524,0.9281888997078871,0.9415774099318404,0.940417121747853,0.006407062131818229,4
41,718.9028027057648,0.6851624170212305,6.748323917388916,0.06607766259078396,<class 'torch.optim.adam.Adam'>,0.4747474747474748,0.01,72,0.001,32,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.4747474747474748, 'module__dp_conv': 0.01, 'max_epochs': 72, 'lr': 0.001, 'batch_size': 32}",0.9376977366755902,0.9272329033828182,0.9518130932100267,0.9308666017526777,0.9513145082765336,0.9397849686595293,0.010188760595216412,5
26,1237.0340349674225,1.009614428993957,6.758121633529663,0.09898373382535665,<class 'torch.optim.adam.Adam'>,0.2676767676767677,0.1,123,0.0001,32,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.2676767676767677, 'module__dp_conv': 0.1, 'max_epochs': 123, 'lr': 0.0001, 'batch_size': 32}",0.9425651009978097,0.9376977366755902,0.9418349963494768,0.9245374878286271,0.9515579357351509,0.939638651517331,0.00880079165330684,6
3,788.1203426361084,0.37924681204028393,6.845270109176636,0.15217821469619075,<class 'torch.optim.adam.Adam'>,0.10101010101010102,0.01,79,0.001,32,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.10101010101010102, 'module__dp_conv': 0.01, 'max_epochs': 79, 'lr': 0.001, 'batch_size': 32}",0.9440253102944756,0.939401314188367,0.9442686785105865,0.9262414800389484,0.9425511197663097,0.9392975805597373,0.006754573000938299,7
39,1185.9382347106935,1.1565772606566584,6.800071334838867,0.09682056079239483,<class 'torch.optim.adam.Adam'>,0.13131313131313133,0.1,118,0.0001,32,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.13131313131313133, 'module__dp_conv': 0.1, 'max_epochs': 118, 'lr': 0.0001, 'batch_size': 32}",0.9418349963494768,0.9338038452178146,0.9474324653200292,0.930379746835443,0.9393865628042843,0.9385675233054096,0.00599444267903802,8
48,480.4070053577423,0.6032011624641515,6.804701042175293,0.08541864766415214,<class 'torch.optim.sgd.SGD'>,0.2828282828282829,0.1,49,0.01,32,"{'optimizer': <class 'torch.optim.sgd.SGD'>, 'module__dp_fc': 0.2828282828282829, 'module__dp_conv': 0.1, 'max_epochs': 49, 'lr': 0.01, 'batch_size': 32}",0.9449987831589195,0.929423217327817,0.9423217327816987,0.9211295034079844,0.9547224926971762,0.9385191458747191,0.011867008013985474,9
4,157.57626662254333,0.14158440462145536,6.7291765213012695,0.14471154587333324,<class 'torch.optim.adam.Adam'>,0.06060606060606061,1e-05,19,0.01,128,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.06060606060606061, 'module__dp_conv': 1e-05, 'max_epochs': 19, 'lr': 0.01, 'batch_size': 128}",0.939401314188367,0.9389145777561451,0.9484059381844732,0.9250243427458618,0.939873417721519,0.9383239181192732,0.0075158026028074336,10
33,282.4536218166351,0.2404057382617271,6.761903858184814,0.09489740244721366,<class 'torch.optim.adam.Adam'>,0.23232323232323235,1e-05,34,0.01,128,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.23232323232323235, 'module__dp_conv': 1e-05, 'max_epochs': 34, 'lr': 0.01, 'batch_size': 128}",0.9420783645655877,0.9262594305183743,0.9459722560233633,0.9221032132424537,0.9530185004868549,0.9378863529673268,0.011800250024750802,11
34,691.6918717384339,0.29485979600320733,6.740040874481201,0.07589667496466355,<class 'torch.optim.adam.Adam'>,0.48484848484848486,0.0001,83,0.0001,128,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.48484848484848486, 'module__dp_conv': 0.0001, 'max_epochs': 83, 'lr': 0.0001, 'batch_size': 128}",0.9411048917011439,0.9284497444633731,0.9486493064005841,0.926728334956183,0.938412852969815,0.9366690260982198,0.00815621092055394,12
5,1113.4333494663238,0.7202216474472707,6.754670667648315,0.07754652105466014,<class 'torch.optim.adam.Adam'>,0.2676767676767677,0.01,111,0.0001,32,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.2676767676767677, 'module__dp_conv': 0.01, 'max_epochs': 111, 'lr': 0.0001, 'batch_size': 32}",0.9440253102944756,0.9209053297639328,0.9459722560233633,0.9269717624148004,0.9379259980525804,0.9351601313098303,0.009730284788879034,13
21,1613.001996421814,0.2918690561838109,6.87109260559082,0.07646501876660225,<class 'torch.optim.adam.Adam'>,0.1767676767676768,0.1,193,0.0001,256,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.1767676767676768, 'module__dp_conv': 0.1, 'max_epochs': 193, 'lr': 0.0001, 'batch_size': 256}",0.9330737405694817,0.9476758335361402,0.9457288878072524,0.9026290165530672,0.9444985394352483,0.9347212035802379,0.016835738465041633,14
31,508.15034809112547,0.23295251491883492,6.819678544998169,0.1278572251482336,<class 'torch.optim.adam.Adam'>,0.08585858585858587,0.001,61,0.001,256,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.08585858585858587, 'module__dp_conv': 0.001, 'max_epochs': 61, 'lr': 0.001, 'batch_size': 256}",0.9411048917011439,0.8975419810172791,0.9535166707228035,0.9281888997078871,0.9527750730282376,0.9346255032354703,0.020711750542455307,15
19,1296.043417596817,0.45509129240100243,6.730784845352173,0.09363077352781621,<class 'torch.optim.adam.Adam'>,0.005050505050505051,0.0001,147,0.0001,64,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.005050505050505051, 'module__dp_conv': 0.0001, 'max_epochs': 147, 'lr': 0.0001, 'batch_size': 64}",0.9313701630567048,0.9376977366755902,0.9435385738622536,0.9123661148977604,0.9476630963972736,0.9345271369779166,0.01236842359402889,16
