,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_optimizer,param_module__dp_fc,param_module__dp_conv,param_max_epochs,param_lr,param_batch_size,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
5,305.2936665534973,0.2430304753917318,6.743089580535889,0.13182387540993948,<class 'torch.optim.adam.Adam'>,0.1,0.01,35,0.001,64,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.1, 'module__dp_conv': 0.01, 'max_epochs': 35, 'lr': 0.001, 'batch_size': 64}",0.9442686785105865,0.949622779265028,0.9501095156972499,0.934031158714703,0.9525316455696202,0.9461127555514375,0.006616072996221171,1
18,902.9797514438629,1.354225207147044,6.7757364273071286,0.06436254061559968,<class 'torch.optim.adam.Adam'>,0.4,0.01,90,0.005,32,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.4, 'module__dp_conv': 0.01, 'max_epochs': 90, 'lr': 0.005, 'batch_size': 32}",0.9464589924555853,0.9435385738622536,0.9454855195911414,0.9323271665043817,0.9491236611489776,0.9433867827124679,0.005815377797017401,2
25,852.7514054775238,0.3396847527075318,6.727215719223023,0.10176410061157957,<class 'torch.optim.adam.Adam'>,0.5,0.01,97,0.0005,64,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.5, 'module__dp_conv': 0.01, 'max_epochs': 97, 'lr': 0.0005, 'batch_size': 64}",0.9423217327816987,0.9510829885616938,0.9469457288878073,0.9245374878286271,0.9469328140214216,0.9423641504162497,0.00933459570954605,3
1,507.47869501113894,0.46860892435726337,6.766773319244384,0.08572174644898982,<class 'torch.optim.adam.Adam'>,0.4,0.001,51,0.02,32,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.4, 'module__dp_conv': 0.001, 'max_epochs': 51, 'lr': 0.02, 'batch_size': 32}",0.9510829885616938,0.9381844731078122,0.9321002677050377,0.9330574488802337,0.9556962025316456,0.9420242761572846,0.009618896650315085,4
32,579.6337972164154,0.3655087843996321,6.733855772018432,0.08679193489193995,<class 'torch.optim.adam.Adam'>,0.1,1e-05,66,0.002,64,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.1, 'module__dp_conv': 1e-05, 'max_epochs': 66, 'lr': 0.002, 'batch_size': 64}",0.938671209540034,0.9359941591628134,0.9501095156972499,0.9330574488802337,0.9474196689386563,0.9410504004437975,0.006599220412753166,5
42,791.4196528434753,0.45038726443977095,6.807499504089355,0.14388397700499864,<class 'torch.optim.adam.Adam'>,0.0,0.0001,90,0.0005,64,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.0, 'module__dp_conv': 0.0001, 'max_epochs': 90, 'lr': 0.0005, 'batch_size': 64}",0.9447554149428085,0.9471890971039182,0.9457288878072524,0.9184518013631938,0.9474196689386563,0.9407089740311658,0.011171216359216345,6
34,747.7854208469391,0.6781762051610563,6.742393922805786,0.0889526442267152,<class 'torch.optim.adam.Adam'>,0.4,1e-05,85,0.0005,64,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.4, 'module__dp_conv': 1e-05, 'max_epochs': 85, 'lr': 0.0005, 'batch_size': 64}",0.9425651009978097,0.9245558530055975,0.9552202482355804,0.928919182083739,0.9503407984420643,0.9403202365529582,0.011882434571499569,7
9,428.2273400783539,0.41280902189002133,6.749314069747925,0.09664496701326127,<class 'torch.optim.adam.Adam'>,0.1,1e-05,49,0.002,64,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.1, 'module__dp_conv': 1e-05, 'max_epochs': 49, 'lr': 0.002, 'batch_size': 64}",0.9515697249939158,0.9323436359211487,0.9471890971039182,0.9174780915287244,0.952288218111003,0.9401737535317422,0.013433147647483537,8
16,740.595784664154,1.0268472821429404,6.766672801971436,0.10517887212690949,<class 'torch.optim.adam.Adam'>,0.5,0.1,74,0.01,32,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.5, 'module__dp_conv': 0.1, 'max_epochs': 74, 'lr': 0.01, 'batch_size': 32}",0.9442686785105865,0.9364808955950353,0.949622779265028,0.9203992210321325,0.9464459591041869,0.9394435067013938,0.010463231754924666,9
7,374.8660948753357,0.17142609156266703,6.760889482498169,0.08744514494592241,<class 'torch.optim.adam.Adam'>,0.0,0.001,43,0.002,64,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.0, 'module__dp_conv': 0.001, 'max_epochs': 43, 'lr': 0.002, 'batch_size': 64}",0.9406181552689219,0.9269895351667072,0.9469457288878073,0.9296494644595911,0.9498539435248295,0.9388113654615715,0.00911116885511223,10
24,1011.5904182434082,0.25798639337627627,6.765887832641601,0.09753600123890559,<class 'torch.optim.adam.Adam'>,0.1,0.001,121,0.002,128,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.1, 'module__dp_conv': 0.001, 'max_epochs': 121, 'lr': 0.002, 'batch_size': 128}",0.9420783645655877,0.9252859576539304,0.9486493064005841,0.9281888997078871,0.9488802336903602,0.9386165524036698,0.010044144034086782,11
26,986.4637453079224,0.3174517774410021,6.74032883644104,0.08454433126671215,<class 'torch.optim.adam.Adam'>,0.5,0.001,118,0.001,128,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.5, 'module__dp_conv': 0.001, 'max_epochs': 118, 'lr': 0.001, 'batch_size': 128}",0.9359941591628134,0.9335604770017035,0.9486493064005841,0.9301363193768257,0.9425511197663097,0.9381782763416473,0.006626186543264166,12
48,300.35111689567566,0.09624307619553027,6.769100713729858,0.09334250237460531,<class 'torch.optim.adam.Adam'>,0.1,0.0001,36,0.002,128,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.1, 'module__dp_conv': 0.0001, 'max_epochs': 36, 'lr': 0.002, 'batch_size': 128}",0.9420783645655877,0.9182282793867121,0.9411048917011439,0.937682570593963,0.9493670886075949,0.9376922389710003,0.010450188769600873,13
20,224.72418780326842,0.06789558421774576,6.743432855606079,0.09061892699087674,<class 'torch.optim.adam.Adam'>,0.2,0.0001,27,0.0005,128,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.2, 'module__dp_conv': 0.0001, 'max_epochs': 27, 'lr': 0.0005, 'batch_size': 128}",0.9325870041372597,0.9376977366755902,0.9515697249939158,0.9386562804284323,0.9279454722492697,0.9376912436968936,0.00793192163041515,14
37,607.3403503894806,0.5458071764144108,6.769949960708618,0.09823146535641124,<class 'torch.optim.adam.Adam'>,0.0,0.001,61,0.01,32,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.0, 'module__dp_conv': 0.001, 'max_epochs': 61, 'lr': 0.01, 'batch_size': 32}",0.939401314188367,0.9243124847894865,0.9462156242394744,0.9337877312560857,0.9442551119766309,0.9375944532900089,0.007910189996176105,15
27,174.79846768379213,0.0965859422485481,6.729936361312866,0.07957014353618043,<class 'torch.optim.adam.Adam'>,0.5,1e-05,21,0.0005,128,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.5, 'module__dp_conv': 1e-05, 'max_epochs': 21, 'lr': 0.0005, 'batch_size': 128}",0.9364808955950353,0.9245558530055975,0.9474324653200292,0.9379259980525804,0.9374391431353457,0.9367668710217177,0.007276553716413999,16
38,368.2156795024872,0.21138190463370712,6.7730584144592285,0.10472457252622579,<class 'torch.optim.adam.Adam'>,0.5,0.1,42,0.0005,64,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dp_fc': 0.5, 'module__dp_conv': 0.1, 'max_epochs': 42, 'lr': 0.0005, 'batch_size': 64}",0.9384278413239231,0.939401314188367,0.948892674616695,0.9230769230769231,0.931110029211295,0.9361817564834407,0.008653750225791056,17
